Frame: 14, Time: 0.58s, Resolution: 320x180
Frame: 134, Time: 5.58s, Resolution: 320x180
Frame: 149, Time: 6.21s, Resolution: 320x180
Frame: 164, Time: 6.83s, Resolution: 320x180
Frame: 224, Time: 9.33s, Resolution: 320x180
Frame: 269, Time: 11.21s, Resolution: 320x180
Frame: 404, Time: 16.83s, Resolution: 320x180
Frame: 494, Time: 20.58s, Resolution: 320x180
Frame: 629, Time: 26.21s, Resolution: 320x180
Frame: 719, Time: 29.96s, Resolution: 320x180
Frame: 809, Time: 33.71s, Resolution: 320x180
Frame: 929, Time: 38.71s, Resolution: 320x180
Frame: 989, Time: 41.21s, Resolution: 320x180
Frame: 1814, Time: 75.58s, Resolution: 320x180
Frame: 1874, Time: 78.08s, Resolution: 320x180
Frame: 2624, Time: 109.33s, Resolution: 320x180
Frame: 2654, Time: 110.58s, Resolution: 320x180
Frame: 2969, Time: 123.71s, Resolution: 320x180
Frame: 3509, Time: 146.21s, Resolution: 320x180
Frame: 3524, Time: 146.83s, Resolution: 320x180
Frame: 4214, Time: 175.58s, Resolution: 320x180
Frame: 4409, Time: 183.71s, Resolution: 320x180
Frame: 4424, Time: 184.33s, Resolution: 320x180
Frame: 4469, Time: 186.21s, Resolution: 320x180
Frame: 4814, Time: 200.58s, Resolution: 320x180
Frame: 4874, Time: 203.08s, Resolution: 320x180
Frame: 5009, Time: 208.71s, Resolution: 320x180
Frame: 5264, Time: 219.33s, Resolution: 320x180
Frame: 5309, Time: 221.21s, Resolution: 320x180
Frame: 5339, Time: 222.46s, Resolution: 320x180
Frame: 5459, Time: 227.46s, Resolution: 320x180
Frame: 5474, Time: 228.08s, Resolution: 320x180
Frame: 5579, Time: 232.46s, Resolution: 320x180
Frame: 6764, Time: 281.83s, Resolution: 320x180
Frame: 6779, Time: 282.46s, Resolution: 320x180
Frame: 8489, Time: 353.71s, Resolution: 320x180
Frame: 8579, Time: 357.46s, Resolution: 320x180
Frame: 10769, Time: 448.71s, Resolution: 320x180
Frame: 11234, Time: 468.08s, Resolution: 320x180
Frame: 11309, Time: 471.21s, Resolution: 320x180
Frame: 12194, Time: 508.08s, Resolution: 320x180
Frame: 12584, Time: 524.33s, Resolution: 320x180
Frame: 12704, Time: 529.33s, Resolution: 320x180
Frame: 12734, Time: 530.58s, Resolution: 320x180
Frame: 12899, Time: 537.46s, Resolution: 320x180
Frame: 13004, Time: 541.83s, Resolution: 320x180
Frame: 13109, Time: 546.21s, Resolution: 320x180
Frame: 13349, Time: 556.21s, Resolution: 320x180
